"CPI Average Price Data, U.S. city average (AP)",,,,,
Original Data Value,,,,,
,,,,,
Series Id:,APU0000703613,,,,
Series Title:,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,,,
Area:,U.S. city average,,,,
Item:,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm)",,,,
Years:,1989 to 2022,,,,
,,,,,
Series ID,Year,Period,Value,,
APU0000703613,2002,M01,5.169,,
APU0000703613,2002,M02,5.121,,
APU0000703613,2002,M03,5.272,,
APU0000703613,2002,M04,5.244,,
APU0000703613,2002,M05,5.288,,
APU0000703613,2002,M06,5.434,,
APU0000703613,2002,M07,5.335,,
APU0000703613,2002,M08,5.402,,
APU0000703613,2002,M09,5.259,,
APU0000703613,2002,M10,5.377,,
APU0000703613,2002,M11,5.225,,
APU0000703613,2002,M12,5.452,,
APU0000703613,2003,M01,5.424,,
APU0000703613,2003,M02,5.418,,
APU0000703613,2003,M03,5.454,,
APU0000703613,2003,M04,5.627,,
APU0000703613,2003,M05,5.473,,
APU0000703613,2003,M06,5.862,,
APU0000703613,2003,M07,6.016,,
APU0000703613,2003,M08,5.956,,
APU0000703613,2003,M09,5.946,,
APU0000703613,2003,M10,6.140,,
APU0000703613,2003,M11,7.083,,
APU0000703613,2003,M12,6.925,,
APU0000703613,2004,M01,6.343,,
APU0000703613,2004,M02,6.337,,
APU0000703613,2004,M03,6.414,,
APU0000703613,2004,M04,6.614,,
APU0000703613,2004,M05,6.960,,
APU0000703613,2004,M06,7.376,,
APU0000703613,2004,M07,7.352,,
APU0000703613,2004,M08,6.873,,
APU0000703613,2004,M09,6.858,,
APU0000703613,2004,M10,6.139,,
APU0000703613,2004,M11,6.114,,
APU0000703613,2004,M12,6.085,,
APU0000703613,2005,M01,6.064,,
APU0000703613,2005,M02,5.993,,
APU0000703613,2005,M03,6.360,,
APU0000703613,2005,M04,6.513,,
APU0000703613,2005,M05,6.739,,
APU0000703613,2005,M06,6.351,,
APU0000703613,2005,M07,5.889,,
APU0000703613,2005,M08,5.807,,
APU0000703613,2005,M09,5.953,,
APU0000703613,2005,M10,5.937,,
APU0000703613,2005,M11,5.739,,
APU0000703613,2005,M12,5.934,,
APU0000703613,2006,M01,5.969,,
APU0000703613,2006,M02,5.934,,
APU0000703613,2006,M03,6.113,,
APU0000703613,2006,M04,5.991,,
APU0000703613,2006,M05,6.048,,
APU0000703613,2006,M06,6.168,,
APU0000703613,2006,M07,6.065,,
APU0000703613,2006,M08,6.182,,
APU0000703613,2006,M09,5.901,,
APU0000703613,2006,M10,5.796,,
APU0000703613,2006,M11,5.766,,
APU0000703613,2006,M12,5.791,,
APU0000703613,2007,M01,5.786,,
APU0000703613,2007,M02,5.830,,
APU0000703613,2007,M03,6.017,,
APU0000703613,2007,M04,5.982,,
APU0000703613,2007,M05,6.402,,
APU0000703613,2007,M06,6.162,,
APU0000703613,2007,M07,5.745,,
APU0000703613,2007,M08,6.050,,
APU0000703613,2007,M09,6.131,,
APU0000703613,2007,M10,5.740,,
APU0000703613,2007,M11,5.906,,
APU0000703613,2007,M12,5.907,,
APU0000703613,2008,M01,5.818,,
APU0000703613,2008,M02,5.905,,
APU0000703613,2008,M03,5.947,,
APU0000703613,2008,M04,5.699,,
APU0000703613,2008,M05,5.999,,
APU0000703613,2008,M06,5.928,,
APU0000703613,2008,M07,5.950,,
APU0000703613,2008,M08,6.399,,
APU0000703613,2008,M09,6.213,,
APU0000703613,2008,M10,6.119,,
APU0000703613,2008,M11,5.858,,
APU0000703613,2008,M12,6.065,,
APU0000703613,2009,M01,5.739,,
APU0000703613,2009,M02,5.675,,
APU0000703613,2009,M03,5.769,,
APU0000703613,2009,M04,5.846,,
APU0000703613,2009,M05,6.194,,
APU0000703613,2009,M06,6.181,,
APU0000703613,2009,M07,5.853,,
APU0000703613,2009,M08,5.905,,
APU0000703613,2009,M09,5.860,,
APU0000703613,2009,M10,5.560,,
APU0000703613,2009,M11,5.748,,
APU0000703613,2009,M12,5.676,,
APU0000703613,2010,M01,5.312,,
APU0000703613,2010,M02,5.415,,
APU0000703613,2010,M03,5.627,,
APU0000703613,2010,M04,6.056,,
APU0000703613,2010,M05,6.136,,
APU0000703613,2010,M06,5.997,,
APU0000703613,2010,M07,5.662,,
APU0000703613,2010,M08,5.672,,
APU0000703613,2010,M09,5.821,,
APU0000703613,2010,M10,6.004,,
APU0000703613,2010,M11,6.145,,
APU0000703613,2010,M12,6.071,,
APU0000703613,2011,M01,6.268,,
APU0000703613,2011,M02,6.248,,
APU0000703613,2011,M03,6.463,,
APU0000703613,2011,M04,6.325,,
APU0000703613,2011,M05,6.191,,
APU0000703613,2011,M06,5.891,,
APU0000703613,2011,M07,6.041,,
APU0000703613,2011,M08,6.300,,
APU0000703613,2011,M09,6.282,,
APU0000703613,2011,M10,6.320,,
APU0000703613,2011,M11,6.210,,
APU0000703613,2011,M12,6.162,,
APU0000703613,2012,M01,6.401,,
APU0000703613,2012,M02,6.405,,
APU0000703613,2012,M03,6.531,,
APU0000703613,2012,M04,6.519,,
APU0000703613,2012,M05,6.420,,
APU0000703613,2012,M06,6.817,,
APU0000703613,2012,M07,6.904,,
APU0000703613,2012,M08,6.718,,
APU0000703613,2012,M09,6.771,,
APU0000703613,2012,M10,6.749,,
APU0000703613,2012,M11,6.799,,
APU0000703613,2012,M12,6.781,,
APU0000703613,2013,M01,6.975,,
APU0000703613,2013,M02,7.078,,
APU0000703613,2013,M03,6.928,,
APU0000703613,2013,M04,6.864,,
APU0000703613,2013,M05,6.791,,
APU0000703613,2013,M06,6.827,,
